sample_id	participant_id	sample_type	pathology
sample-LeftHemisphere	sub-45424flox	tissue	PACAP_fl/fl
sample-LeftHemisphere	sub-45923flox	tissue	PACAP_fl/fl
sample-RightHemisphere	sub-45923flox	tissue	PACAP_fl/fl
sample-LeftHemisphere	sub-45925flox	tissue	PACAP_fl/fl
sample-RightHemisphere	sub-45925flox	tissue	PACAP_fl/fl
sample-RightHemisphere	sub-45926flox	tissue	PACAP_fl/fl
sample-LeftHemisphere	sub-45926flox	tissue	PACAP_fl/fl
sample-LeftHemisphere	sub-45929flox	tissue	PACAP_fl/fl
sample-LeftHemisphere	sub-45930flox	tissue	PACAP_fl/fl
sample-RightHemisphere	sub-45930flox	tissue	PACAP_fl/fl
sample-RightHemisphere	sub-45467ko	tissue	PACAPko
sample-LeftHemisphere	sub-45469ko	tissue	PACAPko
sample-RightHemisphere	sub-45469ko	tissue	PACAPko
sample-RightHemisphere	sub-45476ko	tissue	PACAPko
sample-LeftHemisphere	sub-45476ko	tissue	PACAPko
sample-LeftHemisphere	sub-45478ko	tissue	PACAPko
sample-LeftHemisphere	sub-45644ko	tissue	PACAPko
sample-RightHemisphere	sub-45644ko	tissue	PACAPko
sample-LeftHemisphere	sub-45645ko	tissue	PACAPko
sample-RightHemisphere	sub-45645ko	tissue	PACAPko
sample-RightHemisphere	sub-45670ko	tissue	PACAPko
sample-LeftHemisphere	sub-45670ko	tissue	PACAPko
